"Theme_page";" صفحة "
"Theme_Pages";" صفحة "
"Theme_View";" عرض "
"Theme_per page";" في كل صفحة "
"Theme_Total";" المجموع "
"Theme_records found";" سجلات "
"Theme_Reset Filter";"إلغاء"
"Theme_Search";"البخث"
"Theme_Label";"الاسم المختصر"
"Theme_Last Modified";"أحدث تعديل"
"Theme_Tools";"الأدوات"
"Theme_Previous";"السابق"
"Theme_Next";"التالي"
"Theme_Template";"الثالبق"
"Theme_Add New Template";"Add New Template"
"Theme_Label";"Label"
"Theme_Publish";"السماح بالنشر"
"Theme_Aprrove";"تم تدقيقه"
"Theme_Last Modified";"أحدث تعديل"
"Theme_Tools";"Tools"
"Theme_Skin";"Skin"
"Theme_Add New Skin";"Add New Skin"
"Theme_Layout";"Layout"
"Theme_Add New Layout";"Add New Layout"
"Theme_Themes";"Themes"
"Theme_Information";"خيارات عامة"
"Theme_Advanced";"خيارات متقدمة"
"Theme_Add New Theme";"Add New Theme"
"Theme_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Theme_Save";"حفظ"
"Theme_Reset";"إلغاء"
"Theme_Back";"الرجوع"
"Theme_Advanced";"خيارات متقدمة"
"Theme_Publish From";"النشر من"
"Theme_Publish To";"النشر إلى"
"Theme_Comments";"Comments"
"Theme_Options";"Options"
"Theme_Skins";"Skins"
"Theme_Direction";"Direction"
"Theme_Default";"Default"
"Theme_Order";"الترتيب"
"Theme_At the beginning of the list";"في بداية القائمة"
"Theme_After";"After"
"Theme_Add New Skin";"Add New Skin"
"Theme_Published";"تم نشره"
"Theme_Approved";"تم تدقيقه"
"Theme_Add New Layout";"Add New Layout"
"Theme_Direction";"Direction"
