"Translation_Translation";"الترجمة"
"Translation_Add New Translation";"إضافة ترجمة جديدة"
"Translation_page";" صفحة "
"Translation_of";" من "
"Translation_Pages";" صفحة "
"Translation_View";" عرض "
"Translation_per page";" في كل صفحة "
"Translation_Total";" المجموع "
"Translation_records found";" سجلات "
"Translation_Reset Filter";"إلغاء"
"Translation_Search";"البحث"
"Translation_Label";الاسم المختصر""
"Translation_Translation";"الترجمة"
"Translation_Last Modified";"آخر تعديل"
"Translation_Previous";"السابق"
"Translation_Next";"التالي"
"Translation_Title";"العنوان"
"Translation_Locale";"اللغة"
"Translation_Advanced Settings";"خيارات متقدمة"
"Translation_Comments";"ملاحظات"

"Translation_Advanced";"خيارات متقدمة"
"Translation_Information";"خيارات عامة"
"Translation_Last Modified";"أحدث تعديل"
"Translation_Tools";"أدوات"
"Translation_Previous";"السابق
"Translation_Next";"التلي"
"Translation_Information";"خيارات عامة"
"Translation_Advanced";"خيارات متقدمة"
"Translation_Add New Tag";"إضافة سمة جديدة"
"Translation_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Translation_Save";"حفظ"
"Translation_Reset";"إلغاء"
"Translation_Back";"الرجوع"
"Translation_Date Added";"تاريخ الإضافة"
"Translation_Delete";"حذف"
"Translation_Publish";"السماح بالنشر"
"Translation_Approve";"تم تدقيه"
