"Category_Category Type";"Category Type"
"Category_Add New Category Type";"Add New Category Type"
"Category_page";"page"
"Category_of";"of"
"Category_Pages";"Pages"
"Category_View";"View"
"Category_per page";"per page"
"Category_Total";"Total"
"Category_records found";"records found"
"Category_Reset Filter";"Reset Filter"
"Category_Search";"Search"
"Category_Title";"Title"
"Category_Label";"Label"
"Category_Show In Menu";"Show In Menu"
"Category_Publish";"Publish"
"Category_Aprrove";"Aprrove"
"Category_Last Modified";"Last Modified"
"Category_Tools";"Tools"
"Category_Previous";"Previous"
"Category_Next";"Next"
"Category_Category";"Category"
"Category_Add New Category";"Add New Category"
"Category_Page Title";"Page Title"
"Category_Information";"Information"
"Category_Advanced";"Advanced"
"Category_Add New Category Type";"Add New Category Type"
"Category_Save And Continue Edit";"Save And Continue Edit"
"Category_Save";"Save"
"Category_Reset";"Reset"
"Category_Back";"Back"
"Category_Information";"Information"
"Category_Description";"Description"
"Category_Published";"Published"
"Category_Approved";"Approved"
"Category_Order";"Order"
"Category_At the beginning of the list";"At the beginning of the list"
"Category_After";"After"
"Category_Advanced Settings";"Advanced Settings"
"Category_Comments";"Comments"
"Category_Options";"Options"
"Category_Category";"Category"
"Category_Meta Data";"Meta Data"
"Category_Add New Category";"Add New Category"
"Category_Description";"Description"
"Category_Type";"Type"
"Category_Parent";"Parent"
"Category_Advanced Settings";"Advanced Settings"
"Category_Publish From";"Publish From"
"Category_Publish To";"Publish To"
"Category_Comments";"Comments"
"Category_Options";"Options"
