"Menu_Menu Type";"Menu Type"
"Menu_Add New Menu Type";"Add New Menu Type"
"Menu_page";"page"
"Menu_Pages";"Pages"
"Menu_View";"View"
"Menu_per page";"per page"
"Menu_records found";"records found"
"Menu_Reset Filter";"Reset Filter"
"Menu_Search";"Search"
"Menu_Title";"Title"
"Menu_Label";"Label"
"Menu_Show In Menu";"Show In Menu"
"Menu_Publish";"Publish"
"Menu_Aprrove";"Aprrove"
"Menu_Last Modified";"Last Modified"
"Menu_Tools";"Tools"
"Menu_Previous";"Previous"
"Menu_Next";"Next"
"Menu_Menu";"Menu"
"Menu_Add New Menu";"Add New Menu"
"Menu_page";"page"
"Menu_of";"of"
"Menu_Pages";"Pages"
"Menu_View";"View"
"Menu_per page";"per page"
"Menu_Total";"Total"
"Menu_records found";"records found"
"Menu_Reset Filter";"Reset Filter"
"Menu_Search";"Search"
"Menu_Label";"Label"
"Menu_Link";"Link"
"Menu_Show In Menu";"Show In Menu"
"Menu_Publish";"Publish"
"Menu_Aprrove";"Aprrove"
"Menu_Last Modified";"Last Modified"
"Menu_Tools";"Tools"
"Menu_Previous";"Previous"
"Menu_Next";"Next"
"Menu_Menu Type";"Menu Type"
"Menu_Information";"Information"
"Menu_Advanced";"Advanced"
"Menu_Add New Menu Type";"Add New Menu Type"
"Menu_Save And Continue Edit";"Save And Continue Edit"
"Menu_Save";"Save"
"Menu_Reset";"Reset"
"Menu_Back";"Back"
"Menu_Information";"Information"
"Menu_Title";"Title"
"Menu_Label";"Label"
"Menu_Description";"Description"
"Menu_Published";"Published"
"Menu_Approved";"Approved"
"Menu_Order";"MenuOrder"
"Menu_At the beginning of the list";"At the beginning of the list"
"Menu_After";"After"
"Menu_Advanced Settings";"Advanced Settings"
"Menu_Comments";"Comments"
"Menu_Options";"Options"
"Menu_Menu";"Menu"
"Menu_Advanced";"Advanced"
"Menu_Add New Menu";"Add New Menu"
"Menu_Link";"Link"
"Menu_Type";"Type"
"Menu_Parent";"Parent"
"Menu_SubLevel";"SubLevel"
"Menu_Advanced Settings";"Advanced Settings"
"Menu_Publish From";"Publish From"
"Menu_Publish To";"Publish To"
"Menu_Options";"Options"
"Menu_Comments";"Comments"
